,user_input,date,count_docs,content_clean
10,Anticipation,2013,23,"['    can t wait for apprentice tonight   you will love it ', '     ticket sales spike dramatically after inviting    are you surprised ', 'things happen that make you question whether you should keep going  as long as you are enjoying what you are doing  keep going ', '      when you die the world will be better  very nice   you sound like a really wonderful person ', 'expect the best from people  they will rise to the challenge and it s important to inspire confidence ', ' do what you love  work hard  keep your focus and your momentum intact  good luck ', ' face reality as it is  not as it was or as you wish it to be     ', '    will be our next president  mark my words   thanks for your nice words and thoughts ', 'today will be a great day at work   have only one word in mind  victory ', '    when do you plan to come to moscow  at the beginning of november  looking forward for your coming  nov  9', '     please  please run for president in 2016  we need something to look forward to   someone to look up to  ', ' find something you love doing  you have to have passion for your work  then work hard and keep focused  good luck ', '     when are we going to have a pga tour event    best course i ve ever played   very soon ', 'just left the set of the apprentice   the live show tonight will be fantastic   and something very big and very different is going to happen', '     u r a hero to us in nigeria  africa  wen r u visiting us nxt  it wld be a dream come true to meet really nice', '    i would like to extend my best wishes to all  even the haters and losers  on this special date  september 11th  ', '     please say it isn t so and apprentice is not cancelled  thanks and sleep well tonight ', ' the world is changing very fast  big will not beat small anymore  it will be the fast beating the slow     ', '      i will definitely be there again soon  save me a nice table with a lovely east view   d ', '  a toy next to the apprentice   just a friday fill in ', '     it will make my 3 day weekend to get a tweet from the greatest businessman the world has seen  great weekend ', 'one season ends and another starts  already casting for the next   great news for charity   13 million so far ', 'gain and use information to your advantage  see every day as an opportunity to learn ']"
11,Anticipation,2014,26,"['looking forward to being at the  announcement tonight ', 'don t wait for dire circumstances to test your quick thinking ability  be on alert at all times ', '     playing trump ferry point this morning  looking forward to it  have a great time ', '    i can t wait for  to announce that he s running for president ', '    i can t wait for  to announce that he s running for president ', '     was always funny watching you two banter  that will be missed   i agree ', 'just did final purchase on fabulous  in ireland  will become trump international hotel   golf links  ireland  very exciting ', '     i can t wait to see trump 2016 all over the news   ', '    when do you plan to announce your eventual run for the presidency   we shall see ', '    can t wait for you to take over this country and rebuild what obama destroyed ', '        com jnc696s5fa  ben  get well soon   you have many friends ', '     saw the trailer for apprentice    bring it on  ', 'trump turnberry news conference tomorrow at noon  scotland time  the place is amazing ', '    just set my dvr to record celebrity apprentice jan  4 don t want to miss a second    great ', '     valentine s day and wife s 40th  this weekend    great ', 'today is the first day of the rest of your life   make the most of it ', 'remember  the harder you work  the luckier you get ', '    wearing my trump shirt to school tomorrow   great ', ' the longer you play  the better chance the better player has of winning     ', 'i will be in washington  d c  tomorrow to receive the 2014 joseph wharton award at the wharton club of d c  a great honor  ', 'i will be on fox   friends tomorrow morning at 7 00  ebola and isis will be topics ', '  the properties in ireland  scotland  old post office   mar a lago are my favorites  planning a trip to doonbeg soon   thx', 'i will be working late into the evening closing a big real estate deal soon to be announced  happy easter and or holiday to all ', '    looking forward to it you need a permanent position there   they would like that big league   but i have no time ', 'remember to think big by expanding your horizons at the same time you re expanding your net worth ', '    please run for president   this country needs you   thanks ']"
12,Anticipation,2015,36,"['      i m still expecting  to swoop in and save the day  stay tuned ', '       looking forward to welcoming this event to the greater  area   ', '        was awesome yesterday  can t wait to see a new episode tonight   we are here', '     been here in line for two hours already  reading book while waiting  i ll see you at noon  ', '     working hard daily  and waiting for when you announce that you re going to make a run to rescue our country  ', '     can t wait to see you on cbs sunday morning    ', 'good luck to the us men s national team in tomorrow s concacaf cup vs  mexico  it should be a great game   ', 'just got back from iowa  fantastic evening with truly fabulous people  will be back again soon  thanks ', ' another exciting episode  tune in next monday at 8pm for 2 more new episodes ', '    really looking forward to the premier of the apprentice tonight at 9pm est on nbc such a well executed and captivating show ', '     just find  s hissy fit with  ironic  since yall have room to catch up ', 'iowa was amazing today  great crowd  great people  thanks  will be back soon ', '    my only new year s resolution  be more like   nice  thanks ', '       loved your choice for winner this season  awesome job  xoxo  ', '     you are always many steps ahead of the game   thank you ', '    this man is our everyting       com xgt2nmwqud ', '    had a feeling it d be  vs   my   is on leeza  ps i wanna fly on  s jet   ', 'look forward to being in dc tomorrow big crowd expected for our protest against the truly stupid nuclear deal we are making with iran ', 'will be doing  interview tomorrow  so much to talk about ', 'i look forward to tonight s  debate     but look far more forward to making america great again  it can happen ', 'my interview with     at  airing at 5pm on   com qerqu7ceeh', 'remember   at 7 00 a m  and celebrity apprentice at 8 00 p m  enjoy ', '      i ve been awake  but now see a chance of real hope with trump  ', '    don t miss the 2nd half of my interview with  over on the blog    ', '     love  and am a huge fan  would love to c u run for      ', '    the q is will the  run for president  we shall wait and see    just watch ', '   will you finally get respect for predicting u s  concerns even weeks before disaster strikes the country needs a visionary', '    can you get me a parking slot at mar a lago on sunday its very busy with the car show meeting   yes  call me ', '     would lead polls the second he announces candidacy  america is waiting for him to lead us out of this mess ', '    my tv is off  twitter is up  waiting for the real show  starring    ', '    2016 will hopefully be the year of the donald   thanks ', '     hanging out for the first episode tonight in australia  ', 'follow  for all the updates on my new hampshire political activities  looking forward to returning to the granite state on may 14 ', '    it ll be my first year voting and guess who got my vote  ', '    is america ready for donald trump as president    ', 'trump golf links at ferry point  grand opening next tuesday may 26th at 11 am  jack nicklaus will be joining me    ']"
13,Anticipation,2016,16,"['on my way to new hampshire  expecting a big and spirited crowd       com 9hb7jo3wrz', 'i will be making a big surprise announcement to the massive crowd assembled in huntsville madison alabama  landing now  ', 'just landed in new hampshire  will be at the venue shortly  ', 'join me today in wilmington  ohio at 4pm     tomorrow  tampa  florida at 10am    ', 'thank you  california  will see you soon      com 5rk1u4dq7r', 'will be in phoenix  arizona on wednesday  changing venue to much larger one  demand is unreal  polls looking great  ', 'i will be interviewed on  tonight at 11pme   enjoy ', 'my wife melania will be on  tomorrow morning at 8 00  interviewed by    enjoy ', 'i look very much forward to meeting w paul ryan   the gop party leadership on thurs in dc  together  we will beat the dems at all levels ', 'i am in iowa  will be making two speeches today  good luck to all of the great folks on the east coast  enjoy the beauty of the storm ', 'join me in delaware  ohio tomorrow at 12 30pm   tickets     com zd1kjzlctj', 'thank you for having me  i enjoyed the tour and spending time with everyone  see you soon     twitter com profootballhof status 776210913812701184  ', 'thank you for your continued support   com cykncrrsre', 'i will be going to church in iowa this morning with my wife  melania  after church i will be making two speeches and touring the state ', 'as to the u n   things will be different after jan  20th ', 'thank you for a great evening   laconia  new hampshire    will be back soon     com qwbym2ly7b']"
14,Anticipation,2017,5,"['republicans must start the tax reform tax cut legislation asap  don t wait until the end of september  needed now more than ever  hurry ', 'great to talk jobs with   tremendous spirit   optimism   we will deliver   ', 'thank you kirkwood community college  heading to the u s  cellular center now for an 8pme make america great again rally  com j0elar2akj', 'america is going to build again  under budget and ahead of schedule  time to put      com gfzfxgmyhu', 'a photo delivered yesterday that will be displayed in the upper lower press hall  thank you abbas  com uzp0ivvrp0']"
15,Anticipation,2018,6,"['thank you      twitter com i moments 1040235446876467201  ', 'watching the events unfolding in pittsburgh  pennsylvania  law enforcement on the scene  people in squirrel hill area should remain sheltered  looks like multiple fatalities  beware of active shooter  god bless all ', 'i hope the people over at the fed will read today s wall street journal editorial before they make yet another mistake  also  don t let the market become any more illiquid than it already is  stop with the 50 b s  feel the market  don t just go by meaningless numbers  good luck ', 'just landed at fort drum  new york  looking forward to making a speech about our great heroes ', 'i am pleased to announce that heather nauert  spokeswoman for the united states department of state  will be nominated to serve as united nations ambassador  i want to congratulate heather  and thank ambassador nikki haley for her great service to our country ', 'kris kobach  a strong and early supporter of mine  is running for governor of the great state of kansas  he is a fantastic guy who loves his state and our country   he will be a great governor and has my full   total endorsement  strong on crime  border   military  vote tuesday ']"
16,Anticipation,2019,5,"['great masters going on right now   is leading with 2 holes left to play  very exciting  tune in ', 'my son   is coming out with a new book   triggered  how the left thrives on hate and wants to silence us    available tomorrow  november 5th  a great new book that i highly recommend for all to read  go order it today ', 'wow  just got word that our june 18th  tuesday  announcement in orlando  florida  already has 74 000 requests for a 20 000 seat arena  with all of the big events that we have done  this ticket looks to be the  hottest  of them all  see you in florida ', 'major consideration is being given to naming antifa an  organization of terror   portland is being watched very closely  hopefully the mayor will be able to properly do his job ', 'had a very good telephone conversation with president xi of china  we will be having an extended meeting next week at the g 20 in japan  our respective teams will begin talks prior to our meeting ']"
17,Anticipation,2020,8,"['    be put in use immediately  people are dying  move fast  and god bless everyone     ', 'look forward to being with all of my friends and supporters  on saturday  february 29th   com 9bpnizfnws', 'departing for the great state of north carolina  com bjnytnnhut', 'no contest  steve blows him away  so important for montana  i ll be there to help steve win big     ', 'just finished a meeting on covid 19 in the situation room  news conference coming up shortly     com x9lsexjnea', 'i will be having a white house press conference today at 5 45 p m  thank you ', 'will be doing a town hall on  at 12 05 p m   now   i will go on around 1 00 p m  enjoy ', 'white house news conference today at 5 00 p m  eastern  thank you ']"
18,Awe,2012,3,"['looking forward to the  dine with mitt and donald  this thursday  can t wait to meet the lucky winner  ', 'was with  yesterday  great golfer  great architect  great guy ', 'congrats  on a huge nv victory  let s make  a one term president  ']"
19,Awe,2013,18,"['    can t wait for apprentice tonight   you will love it ', '      when you die the world will be better  very nice   you sound like a really wonderful person ', '     go fuck yourself you dumb fuck  when was the last time you had a date such terrible language    picture  ', ' do what you love  work hard  keep your focus and your momentum intact  good luck ', '    went to  winery in charlottesville va yesterday for my birthday  it was awesome  one of the best   thanks ', '     staying at the trump in chicago  well done sir  this place is amazing   ', 'rt      her beauty lives 5 000 miles past heaven     thank u  ', '     great men do great things  america needs you  america s allies need you  in truth the world needs you   wow', '    real wind turbines twitter   danscavino   here is a       ', '     u r a hero to us in nigeria  africa  wen r u visiting us nxt  it wld be a dream come true to meet really nice', 'with the whacko pervert weiner about to be embarrassed  all women need to be on the lookout  sexting begins 9 11  01 am', '       you should be president   save america  thank you ', '  a toy next to the apprentice   just a friday fill in ', '     has the best tweets for real   thank you  a great way to communicate ', 'mariano rivera is one of top  of all time  greatest closer of all time  a true warrior  last night s mvp award well deserved ', '     it s amazing how you keep your success going this far keep it up     thanks ', 'just left florida  amazing how well state is doing   jobs way up  taxes down  congrats to ', 'via    donald trump in new  video   emin   family are wonderful people ']"
20,Awe,2014,23,"['looking forward to being at the  announcement tonight ', 'don t wait for dire circumstances to test your quick thinking ability  be on alert at all times ', '     playing trump ferry point this morning  looking forward to it  have a great time ', '    on   when was the last time something positive has happened in this country   hmmmm    so true ', '    it looks like you ve outdone yourself donald  beautiful property   thanks ', 'just did final purchase on fabulous  in ireland  will become trump international hotel   golf links  ireland  very exciting ', '     very true comment donald  i m glad we have people like you in this day and age ', '   played turnberry ailsa today it was awesome good job ', '    an aussie   such an amazing place  well done       happy easter', '        com jnc696s5fa  ben  get well soon   you have many friends ', '  visited trump international scotland yesterday  amazing golf course      com qpbczpcez5  thanks ', ' success breeds success  the best way to impress people is through results     think like a billionaire', ' success breeds success  the best way to impress people is through results     think like a billionaire', '    first time in the trump international hotel and tower  and it s absolutely gorgeous   thank you sir  excellent hospitality', 'trump turnberry news conference tomorrow at noon  scotland time  the place is amazing ', '   thanks for your nice words  you are a real champion  i m pushing ', '     valentine s day and wife s 40th  this weekend    great ', '   hi donald  i thought you may like to see a photo of turnberry lighthouse i took last year  com etglg5duwc  beautiful ', 'happy anniversary to my wonderful wife     a truly great decision by me  com eo9ei1njwv', '    please run for president  you have my vote we need more people like you in this world   you re a great man ', '    wearing my trump shirt to school tomorrow   great ', '    please run for president   this country needs you   thanks ', '     we all love you in australia  visit us when you re president   a great place ']"
21,Awe,2015,22,"['      i m still expecting  to swoop in and save the day  stay tuned ', '        was awesome yesterday  can t wait to see a new episode tonight   we are here', '        in bed together   hate trump  win it for the usa   the 21st cent', '    donald trump all american billionaire full  via   wow  so nice   thank you ', 'good luck to the us men s national team in tomorrow s concacaf cup vs  mexico  it should be a great game   ', 'just got back from iowa  fantastic evening with truly fabulous people  will be back again soon  thanks ', '    watching mighty planes about  private b 757  mr  trump is the man  he s as impressive as the jet   thank you ', 'iowa was amazing today  great crowd  great people  thanks  will be back soon ', '    my only new year s resolution  be more like   nice  thanks ', '       loved your choice for winner this season  awesome job  xoxo  ', '    this man is our everyting       com xgt2nmwqud ', '       amen honey honest is honest dont back down support the truth  ', '    donaldtrump  please run mr trump the u s   been going downhill since 9 11 we can be great again please be 100  in', 'my interview with     at  airing at 5pm on   com qerqu7ceeh', '    so much respect for vivica fox right now wow  that was by far the classiest move i ve ever seen on   ', 'remember   at 7 00 a m  and celebrity apprentice at 8 00 p m  enjoy ', 'wow  so nice and so true  thank you        time to rethink the choices    ', '    p  diddy is a fan of donald trump    com z66ttg3dpj ', '     luv luv luv that  left the clips of joan rivers in this season  thank u  ', '   watched you on   made some excellent points  best wishes ', '   the best interview thus far   keep it up trump  donald trump   enough with the nice    via  ', '    we re live from studio 8h tonight    com uiq9llzwec ']"
22,Awe,2016,7,"['join me today in wilmington  ohio at 4pm     tomorrow  tampa  florida at 10am    ', '   com qboaf8dlhs   bei university of nevada  las vegas', '    twitter com daveweigel status 706138604171620352  ', 'thank you brian france  bill elliott               youtu be dtuoqikij7e', '     please mr trump make  your vp  he is a perfect running mate   he is a great guy ', 'just finished my second speech  20k in dayton   25k in cleveland  perfectly behaved crowd  thanks  i love you  ohio  com idmwg5fqsw', 'happy birthday to my son    very proud of you     com ijzw2ndjya']"
23,Awe,2017,7,"['make america safe again       twitter com i moments 880471268608413697  ', 'wonderful weekend at camp david  a very special place  a lot of very important work done  heading back to the  now  com ckxlsdr1ut', 'thank you kirkwood community college  heading to the u s  cellular center now for an 8pme make america great again rally  com j0elar2akj', 'it was an honor to welcome the teachers of the year to the wh last month  today  we honor and thank all teachers   com 0gj8tira5y', 'we must fix our education system for our kids to make america great again  wonderful day at saint andrew in orlando  com otjahcvlzf', 'attending chief ryan owens  dignified transfer yesterday with my daughter ivanka was my great honor  to a great and brave man   thank you ', 'great army   navy game  army wins 14 to 13 and brings home the commander in chief s trophy  congratulations ']"
24,Awe,2018,5,"['thank you      twitter com i moments 1040235446876467201  ', '   hsi agents and ero officers  on behalf of an entire nation  thank you for what you are doing 24 7 365 to keep fellow american s safe  everyone is so grateful   president    twitter com icegov status 950877050159747073  ', 'it was my great honor to host a celebration of diwali  the hindu festival of lights  in the roosevelt room at the  this afternoon  very  very special people     com tylbabg4jf', 'i am pleased to announce that heather nauert  spokeswoman for the united states department of state  will be nominated to serve as united nations ambassador  i want to congratulate heather  and thank ambassador nikki haley for her great service to our country ', '    twitter com scavino45 status 1039469874609893376  ']"
25,Awe,2019,4,"['wow  just got word that our june 18th  tuesday  announcement in orlando  florida  already has 74 000 requests for a 20 000 seat arena  with all of the big events that we have done  this ticket looks to be the  hottest  of them all  see you in florida ', 'it was my great honor to attend the 120th army navy game today in philadelphia  pennsylvania     com hipwizkmip', 'great day in the incredible commonwealth of pennsylvania today  with the amazing energy workers  construction workers  and craft workers who make america run   and who make america proud  no one in the world does it better than you  com jfwgyjzwkm', 'we just won the big court case on net neutrality rules  a great win for the future and speed of the internet  will lead to many big things including 5g  congratulations to the fcc and its chairman  ajit pai ']"
26,Awe,2020,6,"['    be put in use immediately  people are dying  move fast  and god bless everyone     ', 'look forward to being with all of my friends and supporters  on saturday  february 29th   com 9bpnizfnws', 'just finished a meeting on covid 19 in the situation room  news conference coming up shortly     com x9lsexjnea', 'new stock market record  congratulations  spend your money wisely  keep america great     ', 'white house news conference today at 5 00 p m  eastern  thank you ', 'white house news conference today at 5 30 p m  eastern  thank you ']"
27,Cheerfulness,2012,4,"['looking forward to the  dine with mitt and donald  this thursday  can t wait to meet the lucky winner  ', 'looking forward to the  dine with mitt and donald  this thursday  can t wait to meet the lucky winner  ', 'i hope derek jeter s recovery is going well  he is a very special player and a great guy  new york loves him  ', 'i hope derek jeter s recovery is going well  he is a very special player and a great guy  new york loves him  ']"
28,Cheerfulness,2013,8,"['      when you die the world will be better  very nice   you sound like a really wonderful person ', '      when you die the world will be better  very nice   you sound like a really wonderful person ', ' do what you love  work hard  keep your focus and your momentum intact  good luck ', ' do what you love  work hard  keep your focus and your momentum intact  good luck ', 'today will be a great day at work   have only one word in mind  victory ', 'today will be a great day at work   have only one word in mind  victory ', '    you were awesome  honest  personable  intelligent   thanks ', '    you were awesome  honest  personable  intelligent   thanks ']"
29,Cheerfulness,2014,18,"['     playing trump ferry point this morning  looking forward to it  have a great time ', '     playing trump ferry point this morning  looking forward to it  have a great time ', '    on   when was the last time something positive has happened in this country   hmmmm    so true ', '    on   when was the last time something positive has happened in this country   hmmmm    so true ', '     very true comment donald  i m glad we have people like you in this day and age ', '     very true comment donald  i m glad we have people like you in this day and age ', '    all the artsy types need to relax  sign looks great  doesn t take away anything from the city s architecture   thx ', '    all the artsy types need to relax  sign looks great  doesn t take away anything from the city s architecture   thx ', '   played turnberry ailsa today it was awesome good job ', '   played turnberry ailsa today it was awesome good job ', '    an aussie   such an amazing place  well done       happy easter', '    an aussie   such an amazing place  well done       happy easter', '        com jnc696s5fa  ben  get well soon   you have many friends ', '        com jnc696s5fa  ben  get well soon   you have many friends ', ' rosechem1 one of the reasons that i like you is because i feel that old american greatness in your mentality  it makes me feel hope   thx ', ' rosechem1 one of the reasons that i like you is because i feel that old american greatness in your mentality  it makes me feel hope   thx ', '     i read your  article  and reread the old one   as usual  so colorful   thank you ', '     i read your  article  and reread the old one   as usual  so colorful   thank you ']"
30,Cheerfulness,2015,18,"['just got back from iowa  fantastic evening with truly fabulous people  will be back again soon  thanks ', 'just got back from iowa  fantastic evening with truly fabulous people  will be back again soon  thanks ', 'iowa was amazing today  great crowd  great people  thanks  will be back soon ', 'iowa was amazing today  great crowd  great people  thanks  will be back soon ', '    my only new year s resolution  be more like   nice  thanks ', '    my only new year s resolution  be more like   nice  thanks ', '       loved your choice for winner this season  awesome job  xoxo  ', '       loved your choice for winner this season  awesome job  xoxo  ', 'entrepreneurs  a winning attitude will put things in perspective  keep negative thoughts   people where they belong  out of the big picture ', 'entrepreneurs  a winning attitude will put things in perspective  keep negative thoughts   people where they belong  out of the big picture ', '       even  admitted you were nice and a joy to work with ', '       even  admitted you were nice and a joy to work with ', 'another great poll result  thank you  com lomirpfliz', 'another great poll result  thank you  com lomirpfliz', '   watched you on   made some excellent points  best wishes ', '   watched you on   made some excellent points  best wishes ', '   it s been a long time since i ve been excited about a candidate  how refreshing to have a bold voice  go trump  ', '   it s been a long time since i ve been excited about a candidate  how refreshing to have a bold voice  go trump  ']"
31,Cheerfulness,2016,4,"['     please mr trump make  your vp  he is a perfect running mate   he is a great guy ', '     please mr trump make  your vp  he is a perfect running mate   he is a great guy ', 'congratulations to the movement  we have just won the great state of oregon  the vote percentage is even higher than anticipated  thank you ', 'congratulations to the movement  we have just won the great state of oregon  the vote percentage is even higher than anticipated  thank you ']"
32,Cheerfulness,2017,2,"['great to talk jobs with   tremendous spirit   optimism   we will deliver   ', 'great to talk jobs with   tremendous spirit   optimism   we will deliver   ']"
33,Cheerfulness,2018,2,"['happy fourth of july    our country is doing great ', 'happy fourth of july    our country is doing great ']"
34,Cheerfulness,2019,2,"['no  we actually had a very good and productive meeting  nice   ', 'no  we actually had a very good and productive meeting  nice   ']"
35,Contentment,2013,10,"['things happen that make you question whether you should keep going  as long as you are enjoying what you are doing  keep going ', '      when you die the world will be better  very nice   you sound like a really wonderful person ', ' do what you love  work hard  keep your focus and your momentum intact  good luck ', ' face reality as it is  not as it was or as you wish it to be     ', 'today will be a great day at work   have only one word in mind  victory ', ' find something you love doing  you have to have passion for your work  then work hard and keep focused  good luck ', ' what the mind can conceive and believe  and the heart desire  you can achieve     norman vincent peale', '     it s amazing how you keep your success going this far keep it up     thanks ', 'via    donald trump in new  video   emin   family are wonderful people ', 'my motto is   never give up   i follow this very strictly  i do not let problems and challenges stop me  they are normal ']"
36,Contentment,2014,12,"['looking forward to being at the  announcement tonight ', '     playing trump ferry point this morning  looking forward to it  have a great time ', '    on   when was the last time something positive has happened in this country   hmmmm    so true ', 'focus on your goals  not your problems  don t tread water  get out there and go for it ', '     very true comment donald  i m glad we have people like you in this day and age ', '    an aussie   such an amazing place  well done       happy easter', ' success breeds success  the best way to impress people is through results     think like a billionaire', ' success breeds success  the best way to impress people is through results     think like a billionaire', 'today is the first day of the rest of your life   make the most of it ', 'an investment in life  luxury   leisure  a trump nat l bedminster membership offers top amenities   services   ', 'in the end  you re measured not by how much you undertake but by what you finally accomplish ', 'happy anniversary to my wonderful wife     a truly great decision by me  com eo9ei1njwv']"
37,Contentment,2015,10,"['        was awesome yesterday  can t wait to see a new episode tonight   we are here', 'entrepreneurs  problems are a mind exercise  enjoy the challenge ', '    donald trump all american billionaire full  via   wow  so nice   thank you ', '    my only new year s resolution  be more like   nice  thanks ', '       loved your choice for winner this season  awesome job  xoxo  ', '       even  admitted you were nice and a joy to work with ', '    from st  patrick s cathedral  nyc  blessings  prayers and heartfelt concern for those in paris ', '       amen honey honest is honest dont back down support the truth  ', '    when i grow up i want to be just like    thanks ', '   watched you on   made some excellent points  best wishes ']"
